Short description,Description,Caller,Assignment group,language,cleaned_description,descr_len,num_wds,avg_word,uniq_wds,tokenized_desc
skype issue : personal certificate error ,skype issue : personal certificate error ,crjhotyk pxslorbe,GRP_0,it,skype issue personal certificate error,38,5,6.8,5,skype issue personal certificate error
company center-password changes,i have been setting users up in company center and have run into an problem.  the passwords i set them up with don't work and i need to reset them.  please get back to me as soon as possible because we need to get users up and running in the system,qcfmxgid jvxanwre,GRP_0,en,company center password change setting user run problem password set work need reset get back soon possible running system,122,19,5.473684210526316,18,company center password change setting user run problem password set work need reset get back soon possible running system
EU_tool crashes when confirmations are deleted - not able to remove scrap confirmations that have been rectified in erp,"there are now over 130 confirmations needing to be deleted since this error was identifies in may. issue was identified to EU_tool support which no longer exists.

i will forward screen capture images to assigned it agent to better explain this error.

alrthyu
",mlckvyfq aonlxvwb,GRP_25,en,eu tool crash confirmation deleted able remove scrap rectified erp needing since t error identifies may issue identified support wch longer exists forward screen capture image assigned agent better explain alrthyu,213,31,5.903225806451613,31,eu tool crash confirmation deleted able remove scrap rectified erp needing since t error identifies may issue identified support wch longer exists forward screen capture image assigned agent better explain alrthyu
network issues,"

received from: verena.financial@company.com

hello,

at pc eagw8111482sf i have irrecular network issues. sometimes there is no connection to the network possible, after a restart it works again in most cases.
the hardware i can reach i checked for disconnection or lax connection.

",lntbvwgk doqhisxf,GRP_28,en,network issue verena financial pc irrecular sometimes connection possible restart work case hardware reach checked disconnection lax,132,17,6.823529411764706,17,network issue verena financial pc irrecular sometimes connection possible restart work case hardware reach checked disconnection lax
account lock out issue since last two days.,"account lock out issue since last two days.
",qmgspxkf mckfysdh,GRP_0,en,account lock issue since last two day,37,7,4.428571428571429,7,account lock issue since last two day
mqjdyizg amhywoqg - issues with purchasing access.,please escalate this issue since mqjdyizg amhywoqg is required to approve sales contracts in purchasing.  mqjdyizg amhywoqg is having an issue with accessing purchasing.  please review bill's ad and samacocuntname  in ad.  then contact bihrtyull thadhylman to resolve.  ,xszoedmc gmhkdsnw,GRP_0,en,mqjdyizg amhywoqg issue purchasing access escalate t issue since required approve sale contract accessing review bill ad samacocuntname contact bihrtyull thadhylman resolve,172,22,6.863636363636363,21,mqjdyizg amhywoqg issue purchasing access escalate t issue since required approve sale contract accessing review bill ad samacocuntname contact bihrtyull thadhylman resolve
job Job_1132 failed in job_scheduler at: 09/29/2016 08:00:00  ,"received from: monitoring_tool@company.com

job Job_1132 failed in job_scheduler at: 09/29/2016 08:00:00",bpctwhsn kzqsbmtp,GRP_9,en,job failed scheduler monitoringtooljob,38,4,8.75,4,job failed scheduler monitoringtooljob
delivery creation issue,"purchase order number 5019291164, delivery creation issue.",qfnthlam lxvnwuja,GRP_18,en,deli havery creation issue purchase order number,48,7,6.0,7,deli havery creation issue purchase order number
job Job_1137 failed in job_scheduler at: 09/29/2016 07:55:00  ,"received from: monitoring_tool@company.com

job Job_1137 failed in job_scheduler at: 09/29/2016 07:55:00",bpctwhsn kzqsbmtp,GRP_8,en,job failed scheduler monitoringtooljob,38,4,8.75,4,job failed scheduler monitoringtooljob
xszoedmc gmhkdsnw or skype.  contract library access to janhetgdyu fox-chatgrylouy,xszoedmc gmhkdsnw 7 or skype.  access to collaboration_platform>legal>elengineering toolonic contract management system>libarary>contract archive - industrial folder to janhetgdyu fox-chatgrylouy.  please skype janhetgdyu to work with her. ,xszoedmc gmhkdsnw,GRP_16,en,skype contract library access janhetgdyu fox chatgrylouy collaboration platform legal elengineering toolonic management system libarary arcve industrial folder work,164,19,7.684210526315789,19,skype contract library access janhetgdyu fox chatgrylouy collaboration platform legal elengineering toolonic management system libarary arcve industrial folder work
lean tracker - not able to add  new event  ,"

received from: fdmobjul.oicarvqt@gmail.com

need  you help



[cid:image001.jpg@01SID_35a72.de748da0]


best ",sojwqapz okihatrb,GRP_0,en,lean tracker able add new event fdmobjul oicarvqt need help,59,10,5.0,10,lean tracker able add new event fdmobjul oicarvqt need help
spl gl r indicator is missing in customer open items feed.,"spl gl indicator ""r - bill of exchange payt request"" is missing in customer open items feed.",tnywkdpl gnjmazuo,GRP_10,en,spl gl r indicator missing customer open item feed bill exchange payt request,77,13,5.0,13,spl gl r indicator missing customer open item feed bill exchange payt request
ordnerfreigabe fÃ¼r m: kvp3,ordnerfreigabe fÃ¼r m: kvp3,nemzycxb xpsgkahw,GRP_34,de,ordnerfreigabe für,18,2,8.5,2,ordnerfreigabe für
hsh,"

received from: aksthyuhath.shettythruy@company.com

hi,

mr. hatryupsfshytd is  unable to login ess portal. please reset  the password.

emp no

name

userid

manager

20070679

aqihfoly xsrkthvf

hsh

panghyiraj shthuihog



fyi.

[cid:image001.png@01SID_35a6c.bb3839a0]

with ",badnzyue nxuqmdwl,GRP_0,en,hsh aksthyuhath shettythruy mr hatryupsfshytd unable login es portal reset password emp nonameuseridmanageraqihfoly xsrkthvfhshpanghyiraj shthuihogfyi,150,15,9.066666666666666,15,hsh aksthyuhath shettythruy mr hatryupsfshytd unable login es portal reset password emp nonameuseridmanageraqihfoly xsrkthvfhshpanghyiraj shthuihogfyi
aidw700011 needs to format and reinstall.,aidw700011 needs to format and reinstall.,oldrctiu bxurpsyi,GRP_19,en,need format reinstall,21,3,6.333333333333333,3,need format reinstall
reinstall EU_tool und hardcopy.\acqpinyd ecygimqd,reinstall EU_tool und hardcopy.\acqpinyd ecygimqd,acqpinyd ecygimqd,GRP_24,cy,reinstall eu tool und hardcopy,30,5,5.2,5,reinstall eu tool und hardcopy
probleme mit companyguest \bctypmjw cbhnxafz,probleme mit companyguest \bctypmjw cbhnxafz,niptbwdq csenjruz,GRP_24,fr,probleme mit companyguest bctypmjw cbhnxafz,43,5,7.8,5,probleme mit companyguest bctypmjw cbhnxafz
probleme mit hp drucker local .\petljhxi bocxgins,probleme mit hp drucker local .\petljhxi bocxgins,petljhxi bocxgins,GRP_24,en,probleme mit hp drucker local,29,5,5.0,5,probleme mit hp drucker local
ich benÃ¶tige hilfe bei der passwortÃ¤nderung / und bei skype - mikrophone zuschaltung!,"ich benÃ¶tige hilfe bei der passwortÃ¤nderung / und bei skype - mikrophone zuschaltung!
da ich bei skype meetings zwar andere hÃ¶ren kann diese mich aber nicht hÃ¶ren kÃ¶nnen. ",ecoljnvt lbdqmvfs,GRP_0,de,ich benötige lfe bei der passwortänderung und skype mikrophone zuschaltung da meeting zwar andere hören kann diese mich aber nicht können,137,21,5.571428571428571,21,ich benötige lfe bei der passwortänderung und skype mikrophone zuschaltung da meeting zwar andere hören kann diese mich aber nicht können
ughzilfm cfibdamq wanted details to check for company guest,ughzilfm cfibdamq wanted details to check for company guest,olckhmvx pcqobjnd,GRP_0,en,ughzilfm cfibdamq wanted detail check company guest,51,7,6.428571428571429,7,ughzilfm cfibdamq wanted detail check company guest
erp SID_34 account unlock,erp SID_34 account unlock,olckhmvx pcqobjnd,GRP_0,en,erp account unlock,18,3,5.333333333333333,3,erp account unlock
automatically generated confirmations from bls aren't transfered to EU_tool,"system affected: bls (beschichtungsleitstand, engl: coating production system)

confirmation for process step packing fhurakgsl mldufqov is not transfered to EU_tool. 

sample orders: 226901542, 226907395
",xsjqhdgp ymstzudl,GRP_25,en,automatically generated confirmation bls transfered eu tool system affected bescchtungsleitstand engl coating production confirmation process step packing fhurakgsl mldufqov sample order,186,21,7.904761904761905,20,automatically generated confirmation bls transfered eu tool system affected bescchtungsleitstand engl coating production confirmation process step packing fhurakgsl mldufqov sample order
i can not create a delivery order number 5019289193nd; error message apo server not o.k,"mm 4983099 
bestellnumer 5019289193
",uxpytsdk kyamilds,GRP_6,da,create deli havery order number error message apo server k mm ellnumer,70,12,4.916666666666667,12,create deli havery order number error message apo server k mm ellnumer
job Job_593 failed in job_scheduler at: 09/29/2016 04:17:00  ,"received from: monitoring_tool@company.com


[critical] from: bda-net@lhqsm435.company.company.com ""lhqsm435.company.company.com [/g]""  time: 9/29/2016 3:16:25 am
 ipc failure reading net message (ipc write error
 system error: [10053] software caused connection abort
) => aborting.

backup statistics:
          
  session queuing time (hours)         0.00        
  -------------------------------------------      
  completed disk agents ........         37          
  failed disk agents ...........          1          
  aborted disk agents ..........          0          
  -------------------------------------------      
  disk agents total  ...........         38          
  ===========================================      
  completed media agents .......          1          
  failed media agents ..........          0          
  aborted media agents .........          0          
  -------------------------------------------      
  media agents total  ..........          1          
  ===========================================      
  mbytes total .................  534700 mb        
  used media total .............          1          
  disk agent errors total ......          2    

job Job_593 failed in job_scheduler at: 09/29/2016 04:17:00",bpctwhsn kzqsbmtp,GRP_8,en,job failed scheduler monitoringtool,35,4,8.0,4,job failed scheduler monitoringtool
engineering tool malfunction,"

received from: jkpwisnf.lgpdyncm@gmail.com

dear sir
yesterday, i upgraded engineering tool application and now i am facing below problem.
search and new option is  not appearing in customer find/add tab. kindly help to resolve the issue.

[cid:image001.jpg@01SID_35a56.d1291481]

",jkpwisnf lgpdyncm,GRP_25,en,engineering tool malfunction dear siryesterday upgraded application facing problem search new option appearing customer find add tab ly help resolve issue,154,21,6.380952380952381,21,engineering tool malfunction dear siryesterday upgraded application facing problem search new option appearing customer find add tab ly help resolve issue
purchasing catalogue de-wollschlÃ¤ger needs immediatly to be deleted,the company is bankruped,rhinvtua aquyjfbs,GRP_29,en,purchasing catalogue de wollschläger need immediatly deleted company bankruped,78,9,7.777777777777778,9,purchasing catalogue de wollschläger need immediatly deleted company bankruped
telephony_software problem,"there are connection problems, while calling the sr. the sr gets a silent line while i get connected with the warehouse_toolmail immediately.",xjazwpmd sjirdnam,GRP_7,en,telephony software problem connection problem wle calling sr get silent line get connected warehouse toolmail immediately,121,16,6.625,14,telephony software problem connection problem wle calling sr get silent line get connected warehouse toolmail immediately
EU_tool - can not get the transfer times of our employees since today,please see the attached email,xnlapdeq wupaeqlv,GRP_25,en,eu tool get transfer time employee since today see attached email,65,11,5.0,11,eu tool get transfer time employee since today see attached email
vuxdrbng owqplduj : s1- k1,vuxdrbng owqplduj : s1- k1,cwryvksu cedsairg,GRP_0,hr,vuxdrbng owqplduj,17,2,8.0,2,vuxdrbng owqplduj
job Job_2645 failed in job_scheduler at: 09/29/2016 03:30:00  ,"received from: monitoring_tool@company.com

job Job_2645 failed in job_scheduler at: 09/29/2016 03:30:00",bpctwhsn kzqsbmtp,GRP_6,en,job failed scheduler monitoringtooljob,38,4,8.75,4,job failed scheduler monitoringtooljob
selecting customer,"i cannot select the customer and cannot edit it, see the picture below. there is no button for ""new"" or ""find"" which we had in the previous versions and the ""select"" button is not active",nzpfadir swzpfnlj,GRP_25,en,selecting customer cannot select edit see picture button new find wch previous version acti,91,14,5.571428571428571,14,selecting customer cannot select edit see picture button new find wch previous version acti
setup new ws \vuxdrbng owqplduj,setup new ws \vuxdrbng owqplduj,vuxdrbng owqplduj,GRP_24,en,setup new w,11,3,3.0,3,setup new w
HostName_66:volume: f:\ label:dat1-HostName_66 9a625d75 on server: is over 85% space consumed. space available: 648 k,volume: f:\ label:dat1-HostName_66 9a625d75 on server: is over 85% space consumed. space available: 648 k,oldrctiu bxurpsyi,GRP_12,en,volume f label server space consumed available k,48,8,5.125,8,volume f label server space consumed available k
reset the password for bzwrchnd ysfiwvmo on windows ç™»é™†,reset the password for bzwrchnd ysfiwvmo on windows ç™»é™†,bzwrchnd ysfiwvmo,GRP_0,en,reset password window 登陆,24,4,5.25,4,reset password window 登陆
job Job_2588 failed in job_scheduler at: 09/29/2016 01:30:00  ,"received from: monitoring_tool@company.com

job Job_2588 failed in job_scheduler at: 09/29/2016 01:30:00",bpctwhsn kzqsbmtp,GRP_8,en,job failed scheduler monitoringtooljob,38,4,8.75,4,job failed scheduler monitoringtooljob
outlook funktioniert nicht,"am rechner evhw8114148 funktioniert outlook nicht mehr.
",jnktafrs ytxiowbh,GRP_0,de,outlook funktioniert nicht rechner mehr,39,5,7.0,5,outlook funktioniert nicht rechner mehr
lean tracker not opening,lean tracker not opening,saerpwno qsdfmakc,GRP_0,en,lean tracker opening,20,3,6.0,3,lean tracker opening
account locked in ad,account locked in ad,gvsabjhq cgwsbiep,GRP_0,en,account locked ad,17,3,5.0,3,account locked ad
po5616680457 same tax issue,po5616680457 same tax issue,dizquolf hlykecxa,GRP_10,pt,tax issue,9,2,4.0,2,tax issue
modify jb_ecc_bw_zsd531 to pull 36 month sales data from zsd532 table," we are in the process of refreshing history in rr and we need to send 3 years sales data from zsd532 table through bobj script jb_ecc_bw_zsd531. please modify the programdnty to pull 36 month data (-1 to -36) from zsd532, once the extract is complete we will switch it back to delta extraction.",ualdxfir kizjmqte,GRP_20,en,modify pull month sale data table process refresng story rr need send year bobj script programdnty extract complete switch back delta extraction,144,22,5.590909090909091,22,modify pull month sale data table process refresng story rr need send year bobj script programdnty extract complete switch back delta extraction
create guest wifi - vvrassyhrt,create guest wifi - vvrassyhrt,pxsghrjd wiehqmka,GRP_34,en,create guest wifi vvrassyhrt,28,4,6.25,4,create guest wifi vvrassyhrt
i am unable to login to the attendance_tool --so reset my attendance_tool password ,reset my attendance_tool password ,boirqctx bkijgqry,GRP_0,en,unable login attendance tool reset password,43,6,6.333333333333333,6,unable login attendance tool reset password
business_client - authorisation," hi,

pl. provide business_client authorization to uypsqcbm fqpybgri for checking/downloading drawings.

cc: irgsthy , pl. provide your employee id 
",oavigqeu kjmvtfpc,GRP_0,en,business client authorisation pl provide authorization uypsqcbm fqpybgri checking downloading drawing cc irgsthy employee id,124,15,7.333333333333333,15,business client authorisation pl provide authorization uypsqcbm fqpybgri checking downloading drawing cc irgsthy employee id
not able to login to skype,not able to login to skype,tcbonyes gpfacron,GRP_0,en,able login skype,16,3,4.666666666666667,3,able login skype
sound card issue in dell latitude m4800 laptop,sound card issue in dell latitude m4800 laptop,tcbonyes gpfacron,GRP_19,ca,sound card issue dell latitude laptop,37,6,5.333333333333333,6,sound card issue dell latitude laptop
vpn ä¸èƒ½ç™»å½•ã€‚,"[â€Ž2016/â€Ž9/â€Ž29 9:14] daisy huang: 
hi, vpn æŒ‰ç…§é‚®ä»¶é‡Œè®¾ç½®çš„æ”¹äº†ï¼Œæ€Žä¹ˆè¿˜æ˜¯ç™»ä¸ä¸ŠåŽ»
your system failed for antivirus check. please ensure the following is true and try again or contact your administrator: your antivirus software is enabled. it is up to date (antivirus database no older than 30 days) you have recently scanned your system (not longer than 7 days ago) 
[â€Ž2016/â€Ž9/â€Ž29 9:15] obuwfnkm ufpwmybi: 
ä½ çš„æ€æ¯’è½¯ä»¶æœ‰é—®é¢˜
ç—…æ¯’åº“æ²¡æœ‰æ›´æ–°
",lzaqjxgi lzfycegm,GRP_31,en,vpn 不能登录。 daisy huang 按照邮件里设置的改了 怎么还是登不上去your system failed antivirus check ensure following true try contact administrator software enabled date database older day recently scanned longer ago obuwfnkm ufpwmybi 你的杀毒软件有问题病毒库没有更新,227,29,6.862068965517241,29,vpn 不能登录 daisy huang 按照邮件里设置的改了 怎么还是登不上去your system failed antivirus check ensure following true try contact administrator software enabled date database older day recently scanned longer ago obuwfnkm ufpwmybi 你的杀毒软件有问题病毒库没有更新
usa - (company) : interface fastethernet0/16 & gigabitethernet1/0/18 is down since  09:23 pm et on 09/28.,"interface: fastethernet0/16 Â· asheshopsw5 on company-na-usa-usa-2950-access-sw02 is down
interface: gigabitethernet1/0/18 Â· asheshopsw2 on company-na-usa-usa-3850-core-sw01 is down",jyoqwxhz clhxsoqy,GRP_8,en,usa company interface since pm et · na access downinterface core,64,11,4.909090909090909,11,usa company interface since pm et na access downinterface core
prdord 226040587   226040835    226040589    226901663   can not relese ,"115939476   226040835    226040589  user status cer1 is active.
 226901663    user status cer2 is active.
can not  create the production order 
please help to fix it .",rqpfshjd qiulphdr,GRP_45,en,prdord relese user status acti create production order help fix,63,10,5.4,10,prdord relese user status acti create production order help fix
can not transfer customer in tracking to crm,"from: crjhotyk pxslorbe 
sent: thursday, september 29, 2016 2:57 am
to: rakthyesh ramdntythanjesh
subject: crm crjhotyk pxslorbe

can not transfer customer in tracking to crm- should be able to right click and click track to crm, does not work.

",crjhotyk pxslorbe,GRP_40,en,transfer customer tracking crm,30,4,6.75,4,transfer customer tracking crm
hr_tool e-time problems,"

received from: nwzhlktu.plktredg@gmail.com

i am trying to enter etime on the hub but only get this screen:  it will not go anywhere from this screen.  can this be corrected?  please get in touch with me tomorrow during office hours.

[cid:image003.jpg@01SID_359b8.f6a48660]

best ",nwzhlktu plktredg,GRP_0,en,hr tool e time problem trying enter etime hub get t screen go anywhere corrected touch tomorrow office hour,107,19,4.684210526315789,19,hr tool e time problem trying enter etime hub get t screen go anywhere corrected touch tomorrow office hour
login issue,"login issue
-verified user details.(employee# & manager name)
-checked the user name in ad and unlocked the account.
-advised the user to login and check.
-caller confirmed that he was able to login.
-issue resolved.",kdjfhwua arfpnhbj,GRP_0,en,login issue verified user detail employee manager name checked ad unlocked account advised check caller confirmed able resolved,127,18,6.111111111111111,18,login issue verified user detail employee manager name checked ad unlocked account advised check caller confirmed able resolved
engineering_tool urgent,"

received from: uezonywf.rldbvipu@gmail.com

i have access to engineering_tools (engineering_tool) but my name doesn't show up in the drop down for salesman or uacyltoe hxgaycze performed by and it isn't allowing me to write it in. can i please be added aerp.

tommyth duyhurmont
channel partner sales engineer
company inc.

uezonywf.rldbvipu@gmail.com<mailto:uezonywf.rldbvipu@gmail.com>
www.company.com<

www.company.com/engineering_tool/en/home.html

[







",uezonywf rldbvipu,GRP_25,en,engineering tool urgent access tool name show drop salesman uacyltoe hxgaycze performed allowing write added aerp tommyth duyhurmontchannel partner sale engineer,161,21,6.714285714285714,20,engineering tool urgent access tool name show drop salesman uacyltoe hxgaycze performed allowing write added aerp tommyth duyhurmontchannel partner sale engineer
help to change the windows password using password_management_tool password tool.,"help to change the windows password using password_management_tool password tool.
-connected to the user system using teamviewer.
-help the user login to the password_manager_tool password tool and change the passwords.
-help the user to sync the psswords to the company network.
-caller confirmed that he was able to login.
-issue resolved.",ioulqtmk dqevzrsg,GRP_0,en,help change window password using management tool connected user system teamviewer login manager password sync psswords company network caller confirmed able issue resolved,172,23,6.521739130434782,22,help change window password using management tool connected user system teamviewer login manager password sync psswords company network caller confirmed able issue resolved
reset passwords for ytzpxhql ntfxgpms using password_management_tool password reset.,password was reset  but will not allow reset for SID_34 erp production,ytzpxhql ntfxgpms,GRP_17,en,reset password using password management tool allow erp production,66,9,6.444444444444445,8,reset password using password management tool allow erp production
collaboration_platform for business continues to sync all the time,"collaboration_platform is using a lot of memory on my computer, it is trying to sync a large number of file +30,000, i try to exit it. i try to end the process nothing works. i would like to uninstall it if possible. can this be fixed?
: contact #",znwytghq sibchqoz,GRP_0,en,collaboration platform business continues sync time using lot memory computer trying large number file try exit end process notng work would like uninstall possible t fixed contact,180,27,5.703703703703703,27,collaboration platform business continues sync time using lot memory computer trying large number file try exit end process notng work would like uninstall possible t fixed contact
blank call,blank call,pwkrlqbc zslqfmka,GRP_0,en,blank call,10,2,4.5,2,blank call
blank call,blank call,pwkrlqbc zslqfmka,GRP_0,en,blank call,10,2,4.5,2,blank call
frequent account lockout,frequent account lockout,mrduhsci xmvkzqja,GRP_0,fr,frequent account lockout,24,3,7.333333333333333,3,frequent account lockout
access to open this link ,"access to open this link for corp contracts 


i don't have access to open this link for corp contracts 
can you please review and usa me access 



dthyan matheywtyuews
sales manager gl2
oetlgbfw.bsctrnwp@gmail.com

",oetlgbfw bsctrnwp,GRP_16,en,access open t link corp contract review usa dthyan matheywtyuewssales manager,77,11,6.090909090909091,11,access open t link corp contract review usa dthyan matheywtyuewssales manager
mobile device activation,"from: tsbnfixp numwqahj 
sent: wednesday, september 28, 2016 9:01 pm
to: nwfodmhc exurcwkm
subject: amar wg: die synchronisierung mit exchange activesync ist auf ihrem gerÃ¤t vorÃ¼bergehend blockiert, bis der zugriff vom administrator gewÃ¤hrt wird.
importance: high

please usa access for that company owned device.
user-id: grbhybrdg
tsbnfixp numwqahj

thanking you in anticipation!

oqlcdvwi pulcqkzo


von: microsoft outlook 
gesendet: mittwoch, 28. september 2016 17:29
an: tsbnfixp numwqahj <tsbnfixp.numwqahj@gmail.com>
betreff: die synchronisierung mit exchange activesync ist auf ihrem gerÃ¤t vorÃ¼bergehend blockiert, bis der zugriff vom administrator gewÃ¤hrt wird.

der zugriff von ihrem mobilen gerÃ¤t auf inhalte Ã¼ber exchange activesync ist vorrÃ¼bergehend blockiert, da es in quarantÃ¤ne gestellt ist. sie mÃ¼ssen keine aktion durchfÃ¼hren. der inhalt wird automatisch heruntergeladen, sobald der zugriff vom administrator gewÃ¤hrt wird.

please ignore the above paragraph. we cannot change it or delete it. 

special note 30-jan-2015: the microsoft outlook app for ios and android released yesterday is not currently approved software for accessing company e-mail. until it is uacyltoe hxgayczeed and approved, please consider using one of the other (1) the embedded e-mail software in your mobile device (2) the browser on your mobile device or (3) the microsoft owa app published for your mobile device platform. 

beginning 01-mar-2012 employees, with supervisor approval, may use personally owned mobile devices to access outlook email. company is moving forward and providing the opportstorage_product for our employees to use specified personally owned devices to allow for productivity improvement and enable work-life balance. this is an addition to the policy for company owned devices. 

currently approved handheld devices can be found in this policy: 

wireless mobility technical document 

the above policy will be updated as other devices are approved for use. 

if you own an approved device and would like to take advantage of this opportstorage_product you can submit a ticketing_tool ticket to the it global support center (gsc). if it is a personally owned device, you need to attach the agreement form found in the wireless mobility standard procedure. this agreement must be signed by you and your next level supervisor and provided to the gsc prior to a ticket being entered. you can attach the signed form to the ticket or send the signed form to the gsc and they will attach it. 

any ticket without the signed form will be cancelled. you have 2 weeks to process and submit the form before your device will be denied (deleted from quarantine). 

wireless mobility standard procedure 
informationen zu ihrem mobilen gerÃ¤t:
gerÃ¤temodell: iphone6c2
gerÃ¤tetyp: iphone
gerÃ¤te-id: fvqfj874r56gj3r4jb39kdgu3s
gerÃ¤tebetriebssystem: ios 10.0.sartlgeo lhqksbdx4a403
gerÃ¤tebenutzer-agent: apple-iphone6c2/1401.403
gerÃ¤te-imei: 
exchange activesync-version: 16.0
gerÃ¤tezugriffsstatus: quarantined
grund fÃ¼r gerÃ¤tezugriffsstatus: global
um 28.09.2016 15:28:41 an tsbnfixp.numwqahj@gmail.com gesendet.
",tsbnfixp numwqahj,GRP_0,en,mobile device activation,24,3,7.333333333333333,3,mobile device activation
correct billing errors vfx3,to correct attached listed errors,gacfhedw iqustfzh,GRP_10,en,correct billing error attached listed,37,5,6.6,5,correct billing error attached listed
"i did a po and it received with no problem, i try to ship thru pweaver in erp and it tells me the server is unable to pr","i did a po and it received with no problem, i try to ship thru pweaver in erp and it tells me the server is unable to process the request.",vwaufgxr nvdyhlqk,GRP_18,en,po recei haved problem try sp thru pweaver erp tell server unable pr process request,84,15,4.666666666666667,15,po recei haved problem try sp thru pweaver erp tell server unable pr process request
skype issues - calling desk and headset // ooo,"my skype errors out when calling my desk phone.  it calls other numbers in the building fine when i am in kqelgbis stiarhlu.  also, skype headset is connected and on but doesn't work.  have to switch to pc speakers to hear.  ",ifblxjmc dyrgfwbm,GRP_0,en,skype issue calling desk headset ooo error phone call number building fine kqelgbis stiarhlu also connected work switch pc speaker hear,135,21,5.476190476190476,21,skype issue calling desk headset ooo error phone call number building fine kqelgbis stiarhlu also connected work switch pc speaker hear
iphone : crm app install on iphone.,iphone : crm app install on iphone.,jcfignaz tyguzslr,GRP_0,en,iphone crm app install,22,4,4.75,4,iphone crm app install
reset passwords for ytzpxhql ntfxgpms using password_management_tool password reset.,password resets to everything but erp productio,ytzpxhql ntfxgpms,GRP_17,en,reset password using password management tool reset everytng erp productio,74,10,6.5,8,reset password using password management tool reset everytng erp productio
"my 2nd monitor will not display any video, it says no signal can be found.","my 2nd monitor will not display any video, it says no signal can be found.",wlsazrce uwehsqbk,GRP_3,en,monitor display video say signal found,38,6,5.5,6,monitor display video say signal found
reset passwords for ytzpxhql ntfxgpms using password_management_tool password reset.,erp password reset needed,ytzpxhql ntfxgpms,GRP_17,af,reset password using password management tool erp needed,56,8,6.125,7,reset password using password management tool erp needed
wi- fi access to user jamhdtyes kinhytudel,wi- fi access to user jamhdtyes kinhytudel,kauozcir jlyqxise,GRP_0,en,wi fi access user jamhdtyes kinhytudel,38,6,5.5,6,wi fi access user jamhdtyes kinhytudel
"there is no connection to the erp system.  we have no erp, reporting_tool, engineering tool or anything that connects to erp","there is no connection to the erp system.  we have no erp, reporting_tool, engineering tool or anything that connects to erp",mfvkxghn mzjasxqd,GRP_0,en,connection erp system reporting tool engineering anytng connects,64,8,7.125,8,connection erp system reporting tool engineering anytng connects
"no one at the usa facility can log onto erp.  we receive an error message ""loggin balancing error"".","my contact information is as follows: 
",yswgzvrc frjzcnsu,GRP_0,en,one usa facility log onto erp recei error message loggin balancing contact information follows,94,14,5.785714285714286,14,one usa facility log onto erp recei error message loggin balancing contact information follows
erp connection,"

received from: jxgobwrm.qkugdipo@gmail.com

i was unable to save my file in ug. keep getting error and save canceled.
rebooted and now i can't login to engineering tool

[cid:image001.png@01SID_35986.bcd4a410]

knethyen grechduy
engineer, product engineering
company
jxgobwrm.qkugdipo@gmail.com<mailto:jxgobwrm.qkugdipo@gmail.com>

[cid:image001.jpg@01ced94a.22bd1f30]

",jxgobwrm qkugdipo,GRP_0,en,erp connection unable save file ug keep getting error canceled rebooted login engineering tool knethyen grechduyengineer product engineeringcompany,147,18,7.222222222222222,18,erp connection unable save file ug keep getting error canceled rebooted login engineering tool knethyen grechduyengineer product engineeringcompany
help. all of our systems are down. erp is down. nx is down. reporting_tool cannot connect. seems to be all users at our site,help. all of our systems are down. erp is down. nx is down. reporting_tool cannot connect. seems to be all users at our site,tqrlikex moxaebfq,GRP_4,en,help system erp nx reporting tool cannot connect seems user site,64,11,4.909090909090909,11,help system erp nx reporting tool cannot connect seems user site
the termination action for manuel zuehlke has completed.,"hello , 

a kÃ¼ndigung for manuel zuehlke, 21111283, effective 02.09.2016 has been approved. 
",clyauqjw cxwrsflt,GRP_2,en,termination action manuel zuehlke completed kündigung effecti approved,70,8,7.875,8,termination action manuel zuehlke completed kündigung effecti approved
job Job_2668 failed in job_scheduler at: 09/28/2016 13:06:00  ,"received from: monitoring_tool@company.com

job Job_2668 failed in job_scheduler at: 09/28/2016 13:06:00",bpctwhsn kzqsbmtp,GRP_8,en,job failed scheduler monitoringtooljob,38,4,8.75,4,job failed scheduler monitoringtooljob
administration tools,help to install the administration tools in windows 7 os,utyeofsk rdyzpwhi,GRP_19,en,administration tool help install window o,41,6,6.0,6,administration tool help install window o
unable to attach an attachment in expense report,unable to attach an attachment in expense report,yxsermtd vloueirh,GRP_0,en,unable attach attachment expense report,39,5,7.0,5,unable attach attachment expense report
unable to login business_client,unable to login business_client as there was no prompt to login to SID_34 account ,icqleypr kneoblzd,GRP_0,en,unable login business client prompt account,43,6,6.333333333333333,6,unable login business client prompt account
create quote is not working in distributor_tool,create quote is not working in distributor_tool,vbmzgsdk jdmyazti,GRP_21,en,create quote working distributor tool,37,5,6.6,5,create quote working distributor tool
unlock personal number in ess,unlock personal number in ess,yxsermtd vloueirh,GRP_0,en,unlock personal number es,25,4,5.5,4,unlock personal number es
warehouse to's are creating with planned pgi date base on confirmed date not customer committed.,"we are finding warehouse to's creating with the planned pgi date based on the production confirmed date and not the committed date to the customer.  this is occurring on orders with multiple schedule lines, usually created by production recommits.  a good example is sales order 35994153 line 5 with to number 263520.  i will be attaching a pdf copy",hzpmalgo xpvugeyr,GRP_18,en,warehouse creating planned pgi date base confirmed customer committed finding based production t occurring order multiple schedule line usually created recommits good example sale order line number attacng pdf copy,214,30,6.166666666666667,28,warehouse creating planned pgi date base confirmed customer committed finding based production t occurring order multiple schedule line usually created recommits good example sale order line number attacng pdf copy
